OTU	k	p	c	o	f	g	s	OTU_lowest	Gut1	Gut2	Gut3	Gut4	Gut5	Gut6	percReads
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Terriglobus;s__	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Terriglobus		g__Terriglobus	0	0	0	0	27	0	0.021612276
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;__	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium		g__Corynebacterium	0	0	0	0	24	38	0.049628189
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__variabile	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	variabile	Corynebacterium variabile	0	0	46	0	0	17	0.050428643
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;__;__	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae			f__Microbacteriaceae	0	0	0	14	0	79	0.074442283
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Leucobacter;s__	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Leucobacter		g__Leucobacter	0	0	0	0	0	59	0.047226825
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;__	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium		g__Microbacterium	0	0	0	0	0	86	0.068839101
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__barkeri	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	barkeri	Microbacterium barkeri	15	0	0	0	0	71	0.068839101
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Mycetocola;s__	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Mycetocola		g__Mycetocola	0	0	0	0	0	38	0.030417277
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Pseudoclavibacter;s__	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Pseudoclavibacter		g__Pseudoclavibacter	0	0	0	0	10	16	0.020811821
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__;s__	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae			f__Micrococcaceae	0	0	0	0	0	18	0.014408184
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;__;__	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae			f__Micromonosporaceae	0	0	0	0	14	0	0.011206365
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Rhodococcus;__	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardiaceae	Rhodococcus		g__Rhodococcus	10	0	0	0	0	112	0.097655468
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Rhodococcus;s__fascians	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardiaceae	Rhodococcus	fascians	Rhodococcus fascians	0	16	0	0	0	38	0.043224552
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__Propionibacterium;s__acnes	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Propionibacteriaceae	Propionibacterium	acnes	Propionibacterium acnes	4	0	0	34	130	32	0.160090932
